carteira,metodo,qtd_estrategias,retorno_total_medio,cagr_medio,vol_anual_media,sharpe_medio,max_drawdown_medio,calmar_medio,peso_max_medio,hhi_medio,n_efetivo_medio,score_medio
etfs_com_btc,markowitz_restrito,2,6.8796087996942585,0.19472196503317585,0.14583700916852183,1.3687293753332663,-0.2535911499877528,0.7581912845843726,0.09999999999999996,0.06595814207638896,15.162468683736865,184.5
etfs_com_btc,hrp,1,3.689906097800132,0.14842926781077748,0.1424772761877975,1.138313031897382,-0.2143701079585283,0.6923972247077115,0.0725160666615707,0.04511253435313912,22.166788329204472,206.0
etfs_com_btc,equal_weight,1,4.9775870074705075,0.17363550754605872,0.1499754726945394,1.2367654941087156,-0.255629459426015,0.6792468596379159,,,,211.0
etfs_com_btc_petroleo,markowitz_puro,2,8.512311882646893,0.20639337093191923,0.13635070759319642,1.5005031164453744,-0.20641615680707215,0.977263753612186,0.3507977504538563,0.25186561094451176,3.9708871957984044,125.0
etfs_com_btc_petroleo,markowitz_restrito,2,6.677668890850305,0.1924164954453481,0.14290391840401873,1.380464278345163,-0.22595447324478518,0.8409956480244876,0.09999999999999991,0.0633282256745249,15.79235879879996,156.5
etfs_com_btc_petroleo,hrp,1,3.6575225083466103,0.14771688976228092,0.14148777264178175,1.1412966197672383,-0.20013380290355465,0.7380906554474775,0.08397860887158892,0.043524690762951845,22.975464787246658,194.0
etfs_com_btc_petroleo,equal_weight,1,4.827223592867842,0.17096120137334747,0.1474405200507297,1.239603954284959,-0.2419908895426568,0.7064778417751607,,,,200.0
etfs_com_ouro,markowitz_puro,2,5.435684210642501,0.18014856967443826,0.10403313815058798,1.7274394796711374,-0.1295875945025607,1.386937911614876,0.36302557067600205,0.2815303961744048,3.5724752420154764,47.0
etfs_com_ouro,markowitz_restrito,2,4.177123642442884,0.15769262511220394,0.126163957421992,1.3164507855231742,-0.19834133658493214,0.7953388664462222,0.09999999999999959,0.06742721502185402,14.835087060777937,143.0
etfs_com_ouro,hrp,1,3.659956041991088,0.1477705793831352,0.1308381243603111,1.212422420746018,-0.1884844648413625,0.783993415624497,0.14664827634499844,0.05551579461456815,18.012891771481293,166.0
etfs_com_ouro,equal_weight,1,3.6433236071549384,0.1473886132429778,0.14268853278622096,1.1286799627767488,-0.22647847798922505,0.6507841917322933,,,,225.0
etfs_com_ouro_btc,markowitz_puro,2,7.310560917225322,0.20233023970429498,0.10916874333131496,1.8102884243177488,-0.14425441276096002,1.3921197070728997,0.36960099754933395,0.27719323818918606,3.6211618880010517,45.5
etfs_com_ouro_btc,markowitz_restrito,2,7.071577546757024,0.19871517544804773,0.13684249341930918,1.4703594552343504,-0.23550273425962187,0.8347672425307816,0.09999999999999998,0.0659664982524254,15.167715991012157,140.0
etfs_com_ouro_btc,hrp,1,4.101784832426818,0.1571192055252486,0.13272829630623367,1.261573835484776,-0.19798182465576586,0.7936041896696036,0.12542615574536622,0.051026831276327504,19.59753280748833,154.0
etfs_com_ouro_btc,equal_weight,1,5.055208814386859,0.1749921764533937,0.14649346411688438,1.2680498358084566,-0.24993710644261702,0.7001448442133186,,,,195.0
etfs_com_ouro_petroleo,markowitz_puro,2,5.341377360363541,0.1789879327641205,0.1001595124888874,1.7786636580820656,-0.10331882402431275,1.745835142850491,0.3738665578635123,0.27834568323015896,3.605503250269691,37.5
etfs_com_ouro_petroleo,markowitz_restrito,2,4.0870707886962805,0.15602160863779835,0.12323307818515881,1.332169259038511,-0.17291883835720623,0.9006124039975641,0.0999999999999997,0.06335012423557027,15.788665518868978,115.5
etfs_com_ouro_petroleo,hrp,1,3.613550189515828,0.1467423279209361,0.12901177291646282,1.221530338109553,-0.1793476849990978,0.8182002902444728,0.14638889736521507,0.05646992423617762,17.70854155599074,155.0
etfs_com_ouro_petroleo,equal_weight,1,3.569257986680592,0.14573775756317575,0.14048669758901125,1.1336861688884787,-0.21354096130481992,0.6824815092741939,,,,210.0
etfs_com_petroleo,markowitz_puro,2,5.213539778886259,0.17325863241218142,0.12742929258946303,1.4036149691082294,-0.18833399795967237,0.9141605315628742,0.39508811038616093,0.2863708558253963,3.552490847682094,110.0
etfs_com_petroleo,markowitz_restrito,2,3.903898188048677,0.1518343222208789,0.13271467305402396,1.2250187091404987,-0.19009720532564162,0.7965811094205917,0.09999999999999992,0.06666916593659554,15.01310633104103,158.5
etfs_com_petroleo,hrp,1,3.2165787256409724,0.13753976244502342,0.14003091897449924,1.0862079849200097,-0.19392158262586812,0.709254537749819,0.07143395983839576,0.045103942863238544,22.17101070370144,217.0
