data,ticker_1,ticker_2,janela,correlacao
2022-04-04,^BVSP,BZ=F,12m,0.1777180752003852
2022-04-05,^BVSP,BZ=F,12m,0.18304730360001584
2022-04-06,^BVSP,BZ=F,12m,0.18496912635416277
2022-04-07,^BVSP,BZ=F,12m,0.1841956331526492
2022-04-08,^BVSP,BZ=F,12m,0.1821323319833464
2022-04-11,^BVSP,BZ=F,12m,0.188359637591935
2022-04-12,^BVSP,BZ=F,12m,0.18295456497466916
2022-04-13,^BVSP,BZ=F,12m,0.18466092953400168
2022-04-14,^BVSP,BZ=F,12m,0.182817621605846
2022-04-15,^BVSP,BZ=F,12m,0.1809268939905676
2022-04-18,^BVSP,BZ=F,12m,0.17991414812358128
2022-04-19,^BVSP,BZ=F,12m,0.17990191151312693
2022-04-20,^BVSP,BZ=F,12m,0.17953779123352312
2022-04-21,^BVSP,BZ=F,12m,0.18290516428476591
2022-04-22,^BVSP,BZ=F,12m,0.1873141875206336
2022-04-25,^BVSP,BZ=F,12m,0.1892731708763174
2022-04-26,^BVSP,BZ=F,12m,0.17955690555041362
2022-04-27,^BVSP,BZ=F,12m,0.18246297287436972
2022-04-28,^BVSP,BZ=F,12m,0.1835155559391035
2022-04-29,^BVSP,BZ=F,12m,0.1853248096419884
2022-05-02,^BVSP,BZ=F,12m,0.18906098028737844
2022-05-03,^BVSP,BZ=F,12m,0.18661159650042172
2022-05-04,^BVSP,BZ=F,12m,0.1902610201126014
2022-05-05,^BVSP,BZ=F,12m,0.18952780748805884
2022-05-06,^BVSP,BZ=F,12m,0.18814364286099325
2022-05-09,^BVSP,BZ=F,12m,0.19707197304521346
2022-05-10,^BVSP,BZ=F,12m,0.19718020522309462
2022-05-11,^BVSP,BZ=F,12m,0.19720595673246466
2022-05-12,^BVSP,BZ=F,12m,0.19593273209912687
2022-05-13,^BVSP,BZ=F,12m,0.20004482493284637
2022-05-16,^BVSP,BZ=F,12m,0.2005948346336815
2022-05-17,^BVSP,BZ=F,12m,0.20073671683438205
2022-05-18,^BVSP,BZ=F,12m,0.21209299898054562
2022-05-19,^BVSP,BZ=F,12m,0.21451038137329523
2022-05-20,^BVSP,BZ=F,12m,0.21328044146811964
2022-05-23,^BVSP,BZ=F,12m,0.21172484463076485
2022-05-24,^BVSP,BZ=F,12m,0.21084113634576446
2022-05-25,^BVSP,BZ=F,12m,0.21197403676879567
2022-05-26,^BVSP,BZ=F,12m,0.21617766447219944
2022-05-27,^BVSP,BZ=F,12m,0.2162978408319631
2022-05-30,^BVSP,BZ=F,12m,0.21620520708118954
2022-05-31,^BVSP,BZ=F,12m,0.21679033276712248
2022-06-01,^BVSP,BZ=F,12m,0.2135276685544061
2022-06-02,^BVSP,BZ=F,12m,0.21602781746234373
2022-06-03,^BVSP,BZ=F,12m,0.21422179960486012
2022-06-06,^BVSP,BZ=F,12m,0.2133250173782019
2022-06-07,^BVSP,BZ=F,12m,0.21345284665628272
2022-06-08,^BVSP,BZ=F,12m,0.20312505685684226
2022-06-09,^BVSP,BZ=F,12m,0.20230301514156815
2022-06-10,^BVSP,BZ=F,12m,0.20321980479691146
2022-06-13,^BVSP,BZ=F,12m,0.19597244751205878
2022-06-14,^BVSP,BZ=F,12m,0.1948555142436201
2022-06-15,^BVSP,BZ=F,12m,0.19294971324701132
2022-06-16,^BVSP,BZ=F,12m,0.1929036920021048
2022-06-17,^BVSP,BZ=F,12m,0.20838006124114303
2022-06-20,^BVSP,BZ=F,12m,0.20952805407277172
2022-06-21,^BVSP,BZ=F,12m,0.20593292978752098
2022-06-22,^BVSP,BZ=F,12m,0.20538884873692068
2022-06-23,^BVSP,BZ=F,12m,0.20371289819635727
2022-06-24,^BVSP,BZ=F,12m,0.20568316077828974
2022-06-27,^BVSP,BZ=F,12m,0.21061553127116645
2022-06-28,^BVSP,BZ=F,12m,0.2101895378121537
2022-06-29,^BVSP,BZ=F,12m,0.21344397518526062
2022-06-30,^BVSP,BZ=F,12m,0.21624654888391212
2022-07-01,^BVSP,BZ=F,12m,0.2163333095154004
2022-07-04,^BVSP,BZ=F,12m,0.21455802164388052
2022-07-05,^BVSP,BZ=F,12m,0.2150580578260791
2022-07-06,^BVSP,BZ=F,12m,0.20809595084263463
2022-07-07,^BVSP,BZ=F,12m,0.21405574773466163
2022-07-08,^BVSP,BZ=F,12m,0.21263979570921882
2022-07-11,^BVSP,BZ=F,12m,0.2149814230534512
2022-07-12,^BVSP,BZ=F,12m,0.2132835713138485
2022-07-13,^BVSP,BZ=F,12m,0.21273113982930392
2022-07-14,^BVSP,BZ=F,12m,0.21424860307138568
2022-07-15,^BVSP,BZ=F,12m,0.21583651766783507
2022-07-18,^BVSP,BZ=F,12m,0.21734805915963834
2022-07-19,^BVSP,BZ=F,12m,0.21961538390185223
2022-07-20,^BVSP,BZ=F,12m,0.2215537842473883
2022-07-21,^BVSP,BZ=F,12m,0.22118657904437783
2022-07-22,^BVSP,BZ=F,12m,0.21808634992666778
2022-07-25,^BVSP,BZ=F,12m,0.22009364200133621
2022-07-26,^BVSP,BZ=F,12m,0.22084712172157586
2022-07-27,^BVSP,BZ=F,12m,0.22454693162974515
2022-07-28,^BVSP,BZ=F,12m,0.22335091201507185
2022-07-29,^BVSP,BZ=F,12m,0.2240483703264347
2022-08-01,^BVSP,BZ=F,12m,0.22843040716101476
2022-08-02,^BVSP,BZ=F,12m,0.2291194154521408
2022-08-03,^BVSP,BZ=F,12m,0.225469824323144
2022-08-04,^BVSP,BZ=F,12m,0.2169796915095165
2022-08-05,^BVSP,BZ=F,12m,0.21597964551010645
2022-08-08,^BVSP,BZ=F,12m,0.21729628916384505
2022-08-09,^BVSP,BZ=F,12m,0.21821508873949463
2022-08-10,^BVSP,BZ=F,12m,0.22309201632621936
2022-08-11,^BVSP,BZ=F,12m,0.21595881581486487
2022-08-12,^BVSP,BZ=F,12m,0.2133566845371486
2022-08-15,^BVSP,BZ=F,12m,0.2073438755644131
2022-08-16,^BVSP,BZ=F,12m,0.20144782735729164
2022-08-17,^BVSP,BZ=F,12m,0.20172971230035064
2022-08-18,^BVSP,BZ=F,12m,0.20081282151604937
2022-08-19,^BVSP,BZ=F,12m,0.20174313369527885
2022-08-22,^BVSP,BZ=F,12m,0.2098665727690783
2022-08-23,^BVSP,BZ=F,12m,0.21640136697885057
2022-08-24,^BVSP,BZ=F,12m,0.21671626274374536
2022-08-25,^BVSP,BZ=F,12m,0.21542275362409555
2022-08-26,^BVSP,BZ=F,12m,0.2218761971315847
2022-08-29,^BVSP,BZ=F,12m,0.2202740989075696
2022-08-30,^BVSP,BZ=F,12m,0.22883960736603867
2022-08-31,^BVSP,BZ=F,12m,0.22741633831649463
2022-09-01,^BVSP,BZ=F,12m,0.2235780722687706
2022-09-02,^BVSP,BZ=F,12m,0.22792451466223712
2022-09-05,^BVSP,BZ=F,12m,0.2274651074336513
2022-09-06,^BVSP,BZ=F,12m,0.23209932029473995
2022-09-07,^BVSP,BZ=F,12m,0.22963069780052078
2022-09-08,^BVSP,BZ=F,12m,0.22869812309709578
2022-09-09,^BVSP,BZ=F,12m,0.23317496588964662
2022-09-12,^BVSP,BZ=F,12m,0.23075386695393502
2022-09-13,^BVSP,BZ=F,12m,0.23523308286073236
2022-09-14,^BVSP,BZ=F,12m,0.23372601659253095
2022-09-15,^BVSP,BZ=F,12m,0.23925740179781532
2022-09-16,^BVSP,BZ=F,12m,0.23768949189722358
2022-09-19,^BVSP,BZ=F,12m,0.2377065931319159
2022-09-20,^BVSP,BZ=F,12m,0.2334145993451557
2022-09-21,^BVSP,BZ=F,12m,0.23825979889530377
2022-09-22,^BVSP,BZ=F,12m,0.23993085076280918
2022-09-23,^BVSP,BZ=F,12m,0.25015573067397817
2022-09-26,^BVSP,BZ=F,12m,0.24776202583250329
2022-09-27,^BVSP,BZ=F,12m,0.24174495631401852
2022-09-28,^BVSP,BZ=F,12m,0.24242989443185073
2022-09-29,^BVSP,BZ=F,12m,0.24302643084856834
