data,moeda_original,fator_brl,metodo_conversao,ticker_fx_1,ticker_fx_2
2020-07-27,INR,0.06994534248105477,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-07-28,INR,0.06855229225850312,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-07-29,INR,0.06861499675158989,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-07-30,INR,0.06907279086772711,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-07-31,INR,0.06872783337601618,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-08-03,INR,0.06969238360050589,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-08-04,INR,0.07060533061697072,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-08-05,INR,0.07030166256244463,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-08-06,INR,0.07065631112543347,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-08-07,INR,0.07117909155314628,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-08-10,INR,0.07247203577648298,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-08-11,INR,0.07297603833568811,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-08-12,INR,0.07183444893074054,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-08-13,INR,0.07268753660219085,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-08-14,INR,0.07153139221665494,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-08-17,INR,0.07237112915655075,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-08-18,INR,0.0734439994794105,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-08-19,INR,0.07307173317968596,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-08-20,INR,0.07411814616759438,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-08-21,INR,0.07407876806471547,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-08-24,INR,0.07499285970438496,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-08-25,INR,0.07541128626160765,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-08-26,INR,0.0739719957215157,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-08-27,INR,0.07552791872358267,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-08-28,INR,0.07548272313887328,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-08-31,INR,0.07370607236363913,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-09-01,INR,0.07453373528833751,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-09-02,INR,0.07366316447318244,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-09-03,INR,0.07288476829180546,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-09-04,INR,0.07202247911831883,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-09-07,INR,0.07232880831091437,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-09-08,INR,0.07193889596107006,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-09-09,INR,0.07264985558845494,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-09-10,INR,0.07217538764671394,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-09-11,INR,0.07236088070124902,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-09-14,INR,0.07235031413602622,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-09-15,INR,0.07156557938529584,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-09-16,INR,0.07146747998337721,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-09-17,INR,0.07118899408637702,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-09-18,INR,0.07118161882770568,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-09-21,INR,0.07329591092969157,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-09-22,INR,0.07356094771891364,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-09-23,INR,0.07441737225592249,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-09-24,INR,0.07579996517285847,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-09-25,INR,0.07475869081685005,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-09-28,INR,0.0754566144175115,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-09-29,INR,0.07651504394909914,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-09-30,INR,0.0762475430414673,ccyusd_x_usdbrl,INRUSD=X,BRL=X
2020-10-01,INR,0.07609252828841839,ccyusd_x_usdbrl,INRUSD=X,BRL=X
