ticker,media,mediana,std,skew,kurtosis,p1,p5,p95,p99,nome_ativo,classe,tipo_ativo,rank_cauda_negativa,rank_kurtosis
XLE,0.0006979735181225111,0.0,0.020858732839352915,-0.06669399345237746,8.253581306462749,-0.051315161835627676,-0.030316461956587104,0.03315045265032279,0.05534324495028246,Energy Select Sector SPDR Fund,ETF,etf,6.0,8.0
^AXJO,0.0004244722913418425,0.0001591902915525356,0.013202194326768777,0.19294067736133316,6.295763576499985,-0.031034122263676456,-0.019198977262019357,0.020471423962839186,0.033963744123068414,ASX 200,Equity Index,indice,44.0,14.0
^BVSP,0.0005809048053758745,0.0,0.01430055287484153,-0.6869959673666605,14.926714637237177,-0.0333875343097733,-0.02108581248942598,0.02124469632228365,0.036623351127832306,Ibovespa,Equity Index,indice,42.0,1.0
^FTSE,0.0004218962015709107,0.0,0.013530114779049036,-0.02164467318793462,4.610495920837126,-0.03432838930366018,-0.02081632010480583,0.02143262508128929,0.035832980188701125,FTSE 100,Equity Index,indice,39.0,28.0
^GDAXI,0.0006230546758474997,0.0,0.014941077839430076,0.283232640058751,4.851870191217623,-0.03806755384256994,-0.022886876048420213,0.023915563188141364,0.038539883377503165,DAX,Equity Index,indice,27.0,27.0
^GSPC,0.0007483518790358683,0.0,0.015288533256986812,0.3809822084292649,5.8868469478281416,-0.03780037663345583,-0.022081697304828896,0.02496851329457872,0.04071162354053913,S&P 500,Equity Index,indice,29.0,16.0
^HSI,0.00035797250011325844,0.0,0.015300401359628468,0.1716920948876467,3.908193625778415,-0.03813979180203011,-0.022688284830347683,0.02543025203216165,0.03984454444309068,Hang Seng,Equity Index,indice,26.0,35.0
^KS11,0.0006108160642881517,0.0,0.015062345812617636,0.11939359702952002,6.121812460905918,-0.03861033379332144,-0.02154229519504758,0.023418828972368244,0.03862589388892083,Kospi,Equity Index,indice,25.0,15.0
^MXX,0.00043402890595035785,0.0,0.014266307664007298,-0.05299876852145619,4.237168017415701,-0.03548487807709839,-0.02117351226965014,0.023018156500628217,0.03702728435143509,Mexico IPC,Equity Index,indice,37.0,34.0
^N225,0.0006361891713856024,0.0,0.015000723964080032,0.4557295124211947,5.804897973454375,-0.0364225784293078,-0.02217516254166683,0.023028605469045584,0.04445310900769586,Nikkei 225,Equity Index,indice,34.0,18.0
^NDX,0.0009869572415482262,0.00043138418712818094,0.01747358026610928,0.29364973152555524,4.396495932490119,-0.042877324355948446,-0.026658243271305615,0.028510174415061762,0.04632401152575468,Nasdaq 100,Equity Index,indice,13.0,32.0
^NSEI,0.0005261156240299495,0.0,0.013633737095816155,-0.12959153715816138,7.661075903384402,-0.034828228516889714,-0.020262087769314152,0.021426451576584293,0.039173145889554194,Nifty 50,Equity Index,indice,38.0,10.0
^NZ50,0.0004872286160747856,0.0,0.012721664040759278,0.2245593151103746,5.353795689505921,-0.03204010487510881,-0.018415834502631588,0.021026958870471263,0.03340245310796135,NZX 50,Equity Index,indice,43.0,22.0
^STOXX50E,0.0005446241371963186,0.0,0.014776905427340404,0.1667023221734354,4.529334294371976,-0.03720459751293122,-0.022452021319079817,0.02411220397496252,0.03901685468217202,Euro Stoxx 50,Equity Index,indice,31.0,30.0
^TWII,0.0007814268577787863,0.0,0.014626453060781194,-0.027211803624575703,3.6711175183993583,-0.0401110073601358,-0.021475716206783655,0.02378966987356893,0.040058530815234895,Taiwan Weighted,Equity Index,indice,21.0,40.0
