ticker_yahoo,000001.SS,ACWI,ARGT,BOVA11.SA,BRL=X,BTC-USD,BZ=F,ECH,ENZL,EWA,EWG,EWH,EWJ,EWT,EWU,EWW,EWY,EZA,FEZ,GC=F,GLD,IEMG,INDA,MCHI,QQQ,SMAL11.SA,SPY,USO,VEA,VT,XLE,^AXJO,^BVSP,^FTSE,^GDAXI,^GSPC,^HSI,^KS11,^MXX,^N225,^NDX,^NSEI,^NZ50,^STOXX50E,^TWII
GLD,0.3359200593733598,0.3859556714782772,-0.0058950033473510475,-0.33775551498325995,0.6072333719388,0.060781490825520354,-0.14321733605920442,0.14219330384587653,0.37712141836811847,0.2899494469818288,0.28902551058673626,0.364860714830118,0.43465291550940516,0.3966210757829096,0.32638174001758946,0.20581298461181857,0.3276235785424919,0.30208591372188964,0.27786444569352853,0.993043834149698,1.0,0.4213684426411095,0.3559865511951685,0.3496634990226348,0.3267929428426372,-0.2892374205943353,0.3560209979798537,-0.19663173470418407,0.39876450677801767,0.3751567475118238,-0.04743424539141566,0.27571896189044937,-0.3381835138009865,0.334884860877167,0.2868307397701412,0.3562542957470447,0.3502489206710984,0.3397519637671788,0.20597511965338178,0.3448299059293761,0.32774478287849995,0.29846116619296265,0.3754075574568906,0.28236169928714444,0.39433683150920146
IEMG,0.6722913449392751,0.8171762658889073,0.3283244973680373,0.06128731434500943,0.4175848402152697,0.151354091575367,0.16802160189670584,0.5347928979357669,0.7529263274290197,0.7543851960660858,0.7581058927004007,0.7783612495513618,0.7659204827517435,0.862763797769226,0.7524460940966743,0.5195669187332775,0.7964892136571212,0.7041297221764936,0.7447566082914008,0.4196103090983586,0.4213684426411095,1.0,0.690220345529287,0.7852123839781103,0.6997882377961305,0.05620073025764695,0.7273877842925859,0.11893325902599142,0.8381664574272076,0.822105209676088,0.37478461302344884,0.7275433497625934,0.05978770902574452,0.7422662083126923,0.7203386898089034,0.7285491693349083,0.7695775359854877,0.7786707824612512,0.5133385062791412,0.7383258701022565,0.7033568700312124,0.6653825727388261,0.7512676534194473,0.7197324105648868,0.812628364984854
INDA,0.37467356506855776,0.718175124274381,0.26872179784193595,-0.028984758640137213,0.5327750104824365,0.2288862416666738,0.12458220338872393,0.38149377475215246,0.6382214592244618,0.6788489844681755,0.6330383932808664,0.49208847075499523,0.6642060115651337,0.5820665556143679,0.6619921991696825,0.5018272041317905,0.46885230217758983,0.5154980239429722,0.6296991185629965,0.3644024329543549,0.3559865511951685,0.690220345529287,1.0,0.33921091569360684,0.6253331330430639,0.05990277490035602,0.6865846047401792,0.04554826097772802,0.7114784507827344,0.7260771362913448,0.32961395197684146,0.6730170163435477,-0.030481574381874006,0.6471709530731948,0.6205281504281801,0.6876578709470358,0.3953489184254958,0.47737994520145516,0.49238292149701113,0.6285387812154658,0.6282285272052048,0.9674246541086537,0.6668190135048939,0.6111056356920946,0.535412102235083
MCHI,0.7594537027717994,0.5352838558088949,0.11380021728827007,-0.16313287121557665,0.36991666389146627,0.01729329973440068,0.0948787918758315,0.30837845146543835,0.5181921668094589,0.4396929454143213,0.49563854984425537,0.8275418732017702,0.5258119384084436,0.5952638809900376,0.49856500625363626,0.1780703560634927,0.4322025315214924,0.42126684085261357,0.4790407418510889,0.342772474861115,0.3496634990226348,0.7852123839781103,0.33921091569360684,1.0,0.4511569148285477,-0.20232865275372047,0.4494371619194403,0.09223412006022548,0.5455543058014487,0.5351249647789098,0.1677246106555916,0.3985435963244577,-0.16577514323809803,0.4780276991448006,0.43909499951242614,0.44916411681969975,0.9244037991268748,0.41231763418607237,0.17407117839830993,0.42636261456232655,0.45347678410553166,0.3271449934234161,0.5056864317194791,0.43910989515401777,0.5406663868952036
QQQ,0.4896922327813924,0.9244066869918987,0.3400009236308803,-0.15424255191560204,0.5441480728629153,0.31154004824853915,0.14514677393753844,0.3345509154252398,0.736644073875669,0.7227135990993525,0.7371359154359306,0.5145092892386725,0.7944136781334101,0.7403226234838031,0.685223808586315,0.4279254539742889,0.5515317558854985,0.34191603292568407,0.7255032294566959,0.33982455240926257,0.3267929428426372,0.6997882377961305,0.6253331330430639,0.4511569148285477,1.0,-0.08171362754023329,0.9424807126387378,0.059955832750844706,0.811301806510244,0.9162737371179498,0.3205608109019273,0.7180489401692736,-0.16027334118793765,0.7093634947299297,0.7327213692775956,0.9430553776106619,0.45765638056393326,0.5987859186105051,0.4266592340841803,0.7895758662160252,0.9998068855260779,0.5983069271878354,0.7411395026127738,0.7226846752018525,0.7233354457757226
SMAL11.SA,-0.18564299934792147,-0.07261379220589406,0.30277088859132095,0.908227515886868,-0.577523461536033,0.06614078287589348,0.07732170129923084,0.30069940482692487,0.04378810878133968,0.12353278784446911,0.07229984392118281,-0.14587482647634215,-0.18027261887398852,-0.03886626859502017,-0.06962749645943743,0.2289075696090029,0.15258508933434356,0.29233455108443046,0.040712902863337515,-0.3055092981868865,-0.2892374205943353,0.05620073025764695,0.05990277490035602,-0.20232865275372047,-0.08171362754023329,1.0,-0.09691993188799873,-0.01350554277776371,-0.030615480608879145,-0.049414873611329714,0.1339693613635487,0.1835976744640591,0.9081257808922468,-0.07371656764605784,0.05668732978406526,-0.09521425660240841,-0.20007909364558624,0.14019069963384015,0.242138287234994,-0.062139998884929194,-0.07977003887108651,0.10059239421889513,0.054635554850712906,0.020340251598192333,-0.025474230433632512
SPY,0.5058404802035106,0.9831319610013215,0.37056601069091527,-0.1477358369675606,0.6045544287831668,0.311681024533389,0.22761087773254166,0.3724479872851192,0.7761404870576901,0.8018436468749085,0.7962048170087993,0.5550563011978126,0.8371405905798838,0.724806607856552,0.8065664827264777,0.5045435331474158,0.5591553872125015,0.4312386038017551,0.7929445077568149,0.36629110768695705,0.3560209979798537,0.7273877842925859,0.6865846047401792,0.4494371619194403,0.9424807126387378,-0.09691993188799873,1.0,0.14358243246703553,0.8874627810315241,0.9798312049037612,0.49108717007393343,0.7883386194317938,-0.1544704944505646,0.8163061729847443,0.7996142749553469,0.9998277293761284,0.47253208834876254,0.6024243225907728,0.4974976676482198,0.8108531430714577,0.943006862154505,0.6529489080811659,0.7877002562764412,0.7923846313232098,0.7039355474801569
USO,0.06773811438529884,0.15897900244896887,0.1613674637763694,0.06123546706407197,0.04447202902307317,-0.007592047179896248,0.8696540075942389,-0.04793435095760142,0.02866107020450893,0.15326614198030103,0.11897271859360976,0.05516948565606803,0.09391105651652977,0.05110094434448301,0.2808153576034415,0.19819461533698302,0.034223839294155255,0.09250750993874828,0.17601708672761784,-0.20332222445287032,-0.19663173470418407,0.11893325902599142,0.04554826097772802,0.09223412006022548,0.059955832750844706,-0.01350554277776371,0.14358243246703553,1.0,0.15873506041760463,0.1673319361946615,0.47813814619356104,0.10598060671052927,0.06066850150638077,0.2506749682478139,0.10720650800543947,0.14270030743779888,0.0402642356399842,-0.036223090582648214,0.1686056702849991,0.039176362572769935,0.06094091507765839,-0.0015383766897323864,0.04767553862299597,0.15474552995185925,-0.007779827090187526
VEA,0.559936207577889,0.9500694041216637,0.3798858869355963,-0.048171314716042704,0.5277524104437507,0.24663830545307178,0.2125059681612857,0.47858519052071335,0.7995003426819084,0.8749947652186577,0.9278230841672473,0.683590842590482,0.9109967458032394,0.7526644558367951,0.9376237735203774,0.6495326749847864,0.7164217163752221,0.6031891186947037,0.9349240691500872,0.40693523861589387,0.39876450677801767,0.8381664574272076,0.7114784507827344,0.5455543058014487,0.811301806510244,-0.030615480608879145,0.8874627810315241,0.15873506041760463,1.0,0.9536146123609405,0.48632447172972,0.8313444681005635,-0.05233904170417976,0.9326998485277501,0.9137152467171072,0.8881619343582923,0.5863900706527349,0.7276693234540597,0.6398608128345162,0.8580485556519013,0.8130730053359229,0.6804566874774571,0.8045146476622178,0.9170080403191885,0.7185397829256901
VT,0.5672623583018526,0.9985133718769434,0.39923378705154894,-0.08670913057571467,0.5795579829072243,0.2956136150368779,0.24500122001652352,0.4359308841455633,0.8185463987475573,0.8612831934106254,0.8672819617796991,0.6393714363725034,0.884823945348346,0.7752959706239397,0.8736067739068586,0.5770506530255095,0.6490511664727119,0.5309439257134319,0.8640216761513698,0.3835159368196554,0.3751567475118238,0.822105209676088,0.7260771362913448,0.5351249647789098,0.9162737371179498,-0.049414873611329714,0.9798312049037612,0.1673319361946615,0.9536146123609405,1.0,0.5087865809910281,0.8377451279037361,-0.09314824554805534,0.8768700053120047,0.8603602252657138,0.9799941979897613,0.5557591676448865,0.6775920099639814,0.569125577386574,0.8503691675763669,0.9175835268544132,0.6937113529950658,0.8285810116050889,0.8546884995812652,0.7456566562039693
