ticker_1,ticker_2,correlacao,frequencia,universo,nome_ativo_1,classe_1,subclasse_1,regiao_1,pais_1,tipo_ativo_1,grupo_universo_1,nome_ativo_2,classe_2,subclasse_2,regiao_2,pais_2,tipo_ativo_2,grupo_universo_2
ACWI,EWT,0.869143808655284,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,iShares MSCI Taiwan ETF,ETF,Taiwan,Asia,Taiwan,etf,etfs
ACWI,EWU,0.9189641593496258,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,iShares MSCI United Kingdom ETF,ETF,Reino Unido,Europa,Reino Unido,etf,etfs
ACWI,EWW,0.799822642128121,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,iShares MSCI Mexico ETF,ETF,Mexico,America Latina,Mexico,etf,etfs
ACWI,EWY,0.8359570596196557,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,iShares MSCI South Korea ETF,ETF,Coreia do Sul,Asia,Coreia do Sul,etf,etfs
ACWI,EZA,0.7908480906773254,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,iShares MSCI South Africa ETF,ETF,Africa do Sul,Africa,Africa do Sul,etf,etfs
ACWI,FEZ,0.9280726972829153,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,SPDR EURO STOXX 50 ETF,ETF,Zona do Euro,Europa,Zona do Euro,etf,etfs
ACWI,GC=F,0.5404348373936221,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,Ouro Spot/Front,Commodity,Ouro,Global,Global,commodity,alternativos
ACWI,GLD,0.5685846526513267,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,SPDR Gold Shares,ETF,Ouro,Global,Global,etf,etfs
ACWI,IEMG,0.9212859825788029,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,iShares Core MSCI Emerging Markets ETF,ETF,Emerging Markets,Emergentes,Emergentes,etf,etfs
ACWI,INDA,0.8291738979508162,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,iShares MSCI India ETF,ETF,India,Asia,India,etf,etfs
ACWI,MCHI,0.7589065391763129,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,iShares MSCI China ETF,ETF,China,Asia,China,etf,etfs
ACWI,QQQ,0.9419875127562017,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,Invesco QQQ Trust,ETF,US Tech/Growth,America do Norte,Estados Unidos,etf,etfs
ACWI,SMAL11.SA,0.3525266836772713,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,iShares Small Caps ETF,ETF,Brasil Small Caps,Brasil,Brasil,etf,etfs
ACWI,SPY,0.9862487830049315,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,SPDR S&P 500 ETF,ETF,US Broad Market,America do Norte,Estados Unidos,etf,etfs
ACWI,USO,0.46402127248093233,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,United States Oil Fund,ETF,Petroleo,Global,Global,etf,etfs
ACWI,VEA,0.9694411309302773,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,Vanguard FTSE Developed Markets ETF,ETF,Developed Markets,Global,Desenvolvidos,etf,etfs
ACWI,VT,0.9983094729625286,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,Vanguard Total World Stock ETF,ETF,Global Equity,Global,Global,etf,etfs
ACWI,XLE,0.7349092049157073,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,Energy Select Sector SPDR Fund,ETF,Energia,America do Norte,Estados Unidos,etf,etfs
ACWI,^AXJO,0.4495187172520419,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,ASX 200,Equity Index,Broad Market,Oceania,Australia,indice,indices
ACWI,^BVSP,0.41417249446767374,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,Ibovespa,Equity Index,Broad Market,Brasil,Brasil,indice,indices
ACWI,^FTSE,0.6823129669627207,diaria,total,iShares MSCI ACWI ETF,ETF,Global Equity,Global,Global,etf,etfs,FTSE 100,Equity Index,Broad Market,Europa,Reino Unido,indice,indices
