ticker,periodo,cagr,retorno_total
^AXJO,segunda_metade,0.04605269884612717,0.28908503683735454
^BVSP,segunda_metade,0.1239548147548939,0.9329567476881269
^FTSE,segunda_metade,0.08605392449638516,0.592945267366598
^GDAXI,segunda_metade,0.0905960088133162,0.6308851840103451
^GSPC,segunda_metade,0.11157029707215105,0.8158628584040408
^HSI,segunda_metade,-0.020336480244431465,-0.10941748347667613
^KS11,segunda_metade,0.11380064913635723,0.8365080252203518
^MXX,segunda_metade,0.13787866265599868,1.071951774749822
^N225,segunda_metade,0.07297443848022267,0.48772699161643307
^NDX,segunda_metade,0.13073800456795226,0.9996784128490137
^NSEI,segunda_metade,0.07048665979678059,0.4683767321606871
^NZ50,segunda_metade,-0.024060226644613603,-0.12834202372790393
^STOXX50E,segunda_metade,0.08593417457145769,0.5919549130105346
^TWII,segunda_metade,0.16529646835807021,1.3697342618775918
000001.SS,pos_2020,0.08595413644008065,0.6792477016883363
ACWI,pos_2020,0.16314074174134308,1.5856596363394275
ARGT,pos_2020,0.28125607518770845,3.7490949175783577
BOVA11.SA,pos_2020,0.09239795973653564,0.7428750765048608
BRL=X,pos_2020,0.03494404645056348,0.2409921115276683
BTC-USD,pos_2020,0.5026800882467031,11.936049275418293
BZ=F,pos_2020,0.09659894488836152,0.7854382764900121
ECH,pos_2020,0.12287258718152061,1.0719663561979873
ENZL,pos_2020,0.016074698626587614,0.1054402785221662
EWA,pos_2020,0.12408772467171492,1.0861015453450737
EWG,pos_2020,0.12269912930415083,1.0699551778213783
EWH,pos_2020,0.06627897246822512,0.4969216449709346
EWJ,pos_2020,0.1279050139002229,1.1310351645300112
EWT,pos_2020,0.22900843814497995,2.6555381371158235
EWU,pos_2020,0.13174946978062896,1.1771083806772151
EWW,pos_2020,0.16402243182667853,1.5980050851732726
EWY,pos_2020,0.20543676051134896,2.23655095676399
EZA,pos_2020,0.15184454152868665,1.4318026602051632
FEZ,pos_2020,0.15031764473714282,1.4116094949191096
GC=F,pos_2020,0.24362262383404198,2.9375185150769227
GLD,pos_2020,0.23795819206747537,2.826128486000063
IEMG,pos_2020,0.12344820913429388,1.0786522533649512
INDA,pos_2020,0.10780276874683725,0.9032490592233073
MCHI,pos_2020,0.038432813240047325,0.26752451231246543
QQQ,pos_2020,0.23977498790267915,2.861562976735063
SMAL11.SA,pos_2020,-0.01403525425438834,-0.08501909920807293
SPY,pos_2020,0.18803998649177855,1.953900888176094
USO,pos_2020,0.06491366428572931,0.48491363594037407
VEA,pos_2020,0.1441894129722463,1.3319762472955685
VT,pos_2020,0.16269577044983152,1.5794478911778649
XLE,pos_2020,0.19034895665316154,1.9901749500477783
^AXJO,pos_2020,0.08718748339370097,0.691272395321892
^BVSP,pos_2020,0.08860314358966348,0.7051637523283087
^FTSE,pos_2020,0.09799117447210448,0.7997353465753894
^GDAXI,pos_2020,0.14627076567031394,1.3587705202818676
^GSPC,pos_2020,0.17106074912685476,1.698345105856201
^HSI,pos_2020,0.020276682275641722,0.1344935299554757
^KS11,pos_2020,0.16769341575947871,1.6499405503825795
^MXX,pos_2020,0.13211712133093134,1.1815579779953076
^N225,pos_2020,0.12426745320129773,1.0881991201266326
^NDX,pos_2020,0.2326803014640042,2.7247363914601874
^NSEI,pos_2020,0.10178020663433385,0.8391340866870967
^NZ50,pos_2020,0.033255295647852234,0.22831773215950268
^STOXX50E,pos_2020,0.1231400706780077,1.0750709466249995
^TWII,pos_2020,0.22473478538537361,2.5763632666410863
